4019: –
155: дейлани
137: шварц
90: нилс
90: авардан
89: салмагард
88: сэр
86: шект
78: глаза
78: чтото
78: поэтому
71: ответил
71: человека
69: венкат
69: гро
67: корабль
66: спросил
63: возможно
61: придется
60: знал
60: флойд
56: луну
56: знаю
56: быстро
55: воды
53: вновь
53: жизни
52: тедди
52: модуля
51: должны
51: земли
51: империи
50: дней
50: пола
50: арбин
49: людей
48: модуль
48: совершенно
48: могли
47: руку
47: медленно
47: мужчина
47: слова
47: энус
46: минут
46: мере
46: случае
45: ответ
45: литров
44: наса
44: корабле
44: смотрящий
43: посмотрел
43: руки
42: хватит
41: доктор
41: мва
41: заметил
41: адмирал
41: головой
41: земле
41: премьерминистр
40: почувствовал
39: сол
39: кислорода
39: столь
39: вполне
38: ко
38: словно
38: часов
37: майнди
37: думаю
36: одна
36: равно
36: корабля
35: скафандр
34: дня
34: лейтенант
34: крайней
34: жилого
33: сделал
32: марсоход
32: прежде
32: достаточно
32: проговорил
32: едва
31: никаких
31: точно
31: начал
31: ктото
31: неожиданно
31: смогу
31: знаете
31: запись
30: моего
30: мое
30: образом
30: таким
30: которую
30: казалось
30: поскольку
30: использовать
30: землю
30: говоря
30: co2
30: журнале
29: жилой
29: сюда
29: явно
29: изза
29: всей
29: сторону
29: моей
29: шварца
28: кивнул
28: иначе
28: тело
28: вряд
28: лице
28: могло
28: пришлось
28: которое
28: безопасности
28: o2
28: олег
27: похоже
27: план
27: вовсе
27: уверен
27: оружие
27: воздуха
27: могла
27: планете
27: вскоре
27: среди
27: улыбнулся
27: спросила
26: месте
26: пути
26: осталось
26: энни
26: оказалась
26: произнес
26: повернулся
26: хочу
26: воздух
26: части
26: чувствовал
26: стороны
26: кислород
26: ремарк
25: уотни
25: марсе
25: марсохода
25: момент
25: пусть
25: полностью
25: такого
25: плечами
25: энергии
25: никакого
25: внимание
25: хотите
25: виду
25: квадратных
25: возможность
25: модуле
24: удалось
24: ноги
24: никак
24: отлично
24: настолько
24: случилось
24: взглянул
24: стоит
24: внутри
23: скоро
23: конце
23: мпа
23: поднял
23: ртг
23: насколько
23: скорее
23: прямо
23: какойто
23: глава
23: посмотрела
22: вероятно
22: внимания
22: льюис
22: девушка
22: решил
22: ладно
22: нилса
22: оказался
22: увидел
22: старейших
22: итак
22: голову
22: одно
22: остается
22: водород
21: километров
21: своем
21: полагаю
21: требуется
21: должна
21: рукой
21: своим
21: которым
21: добавил
21: понял
21: батареи
21: работу
21: трудно
21: гдето
21: можете
21: миссии
21: почвы
21: стабилизатор
21: игнат
20: часа
20: спустя
20: сильно
20: хотелось
20: слегка
20: волосы
20: взглядом
20: нечто
20: лица
20: мою
20: сквозь
20: весьма
20: трудом
20: ход
20: ясно
20: ло
20: возможности
20: планета
20: знаешь
20: наттер
20: боль
20: земляне
20: завтра
19: места
19: связи
19: концов
19: глазами
19: ответила
19: вперед
19: капитан
19: состоянии
19: одну
19: мысли
19: смотрела
19: кресло
19: чтонибудь
19: некоторое
19: спокойно
19: стали
19: мгновенно
19: планеты
19: авардана
19: пару
19: метров
19: выжить
19: проблема
19: практически
19: землянин
19: карла
18: шестьдесят
18: вернулся
18: следовало
18: подумал
18: деле
18: экипажа
18: мягко
18: планет
18: оказалось
18: молодой
18: слышал
18: резко
18: помочь
18: вместо
18: станции
18: шлюз
18: находится
18: руками
18: узнать
18: необходимо
18: шестидесяти
18: смерть
18: нашел
18: снаружи
18: интересно
18: давление
18: начали
18: камень
17: последние
17: имею
17: постоянно
17: поняла
17: понимаю
17: очередь
17: думал
17: собственно
17: двое
17: порядке
17: таком
17: котором
17: работы
17: мгновение
17: впервые
17: пожал
17: контакт
17: произошло
17: нашей
17: совета
17: продолжал
17: той
17: нужны
17: двери
17: удар
17: галактики
17: чувство
17: марсоходе
17: пиратов
17: питекантропы
17: питекантропов
16: можем
16: первого
16: добраться
16: пожалуй
16: секунд
16: сможем
16: положение
16: трое
16: сигнал
16: парень
16: находились
16: оказались
16: минуту
16: адмирала
16: стоял
16: потребуется
16: системы
16: вышел
16: нилсу
16: примерно
16: несмотря
16: степени
16: шаттл
16: силы
16: чике
16: провел
16: мысленный
16: стало
16: трех
16: самое
16: друга
16: количество
16: намного
16: поверхность
16: например
16: благодаря
16: сектора
16: ирис
16: землян
15: следующий
15: дни
15: понятия
15: домой
15: думаешь
15: моим
15: проблем
15: жив
15: брови
15: нескольких
15: пятьдесят
15: происходит
15: обратился
15: остальные
15: внимательно
15: тремма
15: вопросы
15: направился
15: легко
15: угодно
15: следовательно
15: следует
15: получится
15: какие
15: покачал
15: мысль
15: другом
15: неужели
15: внутрь
15: искать
15: секретарь
15: дела
15: разумеется
15: шекта
15: солнечные
15: воду
15: счастью
15: жилом
15: 50
15: последнее
15: №
15: 1
15: смерти
15: водорода
15: задание
14: думаете
14: связаться
14: связь
14: тридцать
14: митч
14: вроде
14: стала
14: марса
14: первую
14: плохо
14: месяцев
14: приходилось
14: каким
